"Time","propulsion.port.alternatorVoltage.last","propulsion.port.boostPressure.last",fuel,"propulsion.port.oilPressure.last","propulsion.port.revolutions.last","propulsion.port.runTime.last","propulsion.port.temperature.last","propulsion.port.transmission.oilPressure.last","propulsion.port.transmission.oilTemperature.last","propulsion.starboard.alternatorVoltage.last","propulsion.starboard.boostPressure.last","propulsion.starboard.fuel.rate.last","propulsion.starboard.oilPressure.last","propulsion.starboard.revolutions.last","propulsion.starboard.runTime.last","propulsion.starboard.temperature.last","propulsion.starboard.transmission.oilPressure.last","propulsion.starboard.transmission.oilTemperature.last"
2021-10-25 10:34:30,,,,,,,,,,,,,,,,,,
2021-10-25 10:34:45,,,,,,,,,,,,,,,,,,
2021-10-25 10:35:00,,,,,,,,,,,,,,,,,,
2021-10-25 10:35:15,,,,,,,,,,,,,,,,,,
2021-10-25 10:35:30,,,,,,,,,,,,,,,,,,
2021-10-25 10:35:45,,,,,,,,,,,,,,,,,,
2021-10-25 10:36:00,,,,,,,,,,,,,,,,,,
2021-10-25 10:36:15,,,,,,,,,,,,,,,,,,
2021-10-25 10:36:30,,,,,,,,,,,,,,,,,,
2021-10-25 10:36:45,,,,,,,,,,,,,,,,,,
2021-10-25 10:37:00,,,,,,,,,,,,,,,,,,
2021-10-25 10:37:15,,,,,,,,,,,,,,,,,,
2021-10-25 10:37:30,,,,,,,,,,,,,,,,,,
2021-10-25 10:37:45,,,,,,,,,,,,,,,,,,
2021-10-25 10:38:00,,,,,,,,,,,,,,,,,,
2021-10-25 10:38:15,,,,,,,,,,,,,,,,,,
2021-10-25 10:38:30,,,,,,,,,,,,,,,,,,
2021-10-25 10:38:45,,,,,,,,,,,,,,,,,,
2021-10-25 10:39:00,,,,,,,,,,,,,,,,,,
2021-10-25 10:39:15,,,,,,,,,,,,,,,,,,
2021-10-25 10:39:30,,,,,,,,,,,,,,,,,,
2021-10-25 10:39:45,,,,,,,,,,,,,,,,,,
2021-10-25 10:40:00,,,,,,,,,,,,,,,,,,
2021-10-25 10:40:15,,,,,,,,,,,,,,,,,,
2021-10-25 10:40:30,,,,,,,,,,,,,,,,,,
2021-10-25 10:40:45,,,,,,,,,,,,,,,,,,
2021-10-25 10:41:00,,,,,,,,,,,,,,,,,,
2021-10-25 10:41:15,,,,,,,,,,,,,,,,,,
2021-10-25 10:41:30,,,,,,,,,,,,,,,,,,
2021-10-25 10:41:45,,,,,,,,,,,,,,,,,,
2021-10-25 10:42:00,,,,,,,,,,,,,,,,,,
2021-10-25 10:42:15,,,,,,,,,,,,,,,,,,
2021-10-25 10:42:30,,,,,,,,,,,,,,,,,,
2021-10-25 10:42:45,,,,,,,,,,,,,,,,,,
2021-10-25 10:43:00,,,,,,,,,,,,,,,,,,
2021-10-25 10:43:15,,,,,,,,,,,,,,,,,,
2021-10-25 10:43:30,,,,,,,,,,,,,,,,,,
2021-10-25 10:43:45,,,,,,,,,,,,,,,,,,
2021-10-25 10:44:00,,,,,,,,,,,,,,,,,,
2021-10-25 10:44:15,,,,,,,,,,,,,,,,,,
2021-10-25 10:44:30,,,,,,,,,,,,,,,,,,
2021-10-25 10:44:45,,,,,,,,,,,,,,,,,,
2021-10-25 10:45:00,,,,,,,,,,,,,,,,,,
2021-10-25 10:45:15,,,,,,,,,,,,,,,,,,
2021-10-25 10:45:30,,,,,,,,,,,,,,,,,,
2021-10-25 10:45:45,,,,,,,,,,,,,,,,,,
2021-10-25 10:46:00,,,,,,,,,,,,,,,,,,
2021-10-25 10:46:15,,,,,,,,,,,,,,,,,,
2021-10-25 10:46:30,,,,,,,,,,,,,,,,,,
2021-10-25 10:46:45,,,,,,,,,,,,,,,,,,
2021-10-25 10:47:00,,,,,,,,,,,,,,,,,,
2021-10-25 10:47:15,,,,,,,,,,,,,,,,,,
2021-10-25 10:47:30,,,,,,,,,,,,,,,,,,
2021-10-25 10:47:45,,,,,,,,,,,,,,,,,,
2021-10-25 10:48:00,,,,,,,,,,,,,,,,,,
2021-10-25 10:48:15,,,,,,,,,,,,,,,,,,
2021-10-25 10:48:30,,,,,,,,,,,,,,,,,,
2021-10-25 10:48:45,,,,,,,,,,,,,,,,,,
2021-10-25 10:49:00,,,,,,,,,,,,,,,,,,
2021-10-25 10:49:15,,,,,,,,,,,,,,,,,,
2021-10-25 10:49:30,,,,,,,,,,,,,,,,,,
2021-10-25 10:49:45,,,,,,,,,,,,,,,,,,
2021-10-25 10:50:00,,,,,,,,,,,,,,,,,,
2021-10-25 10:50:15,,,,,,,,,,,,,,,,,,
2021-10-25 10:50:30,,,,,,,,,,,,,,,,,,
